Name	Location	label
 Uttarakhand. 		-1
 district,  Chamoli 		-1
 Uttarakhand 	 evening.  28  December 	1
 district,  Chamoli  hilly 	 p.m.,  4.45 	1
 Uttarakhand 	 6.  December  of  night 	1
 Rudraprayag, 		-1
		-1
 district  Raigad  in  Pali 	 afternoon.  Friday 	1
 Pali 		-1
		-1
		-1
 Delhi.  New 		-1
 night,  Thursday  station  Delhi  New 		-1
		-1
 13,  number  platform 	 10.45pm  and  10.30pm 	1
 Seyhan:  Turkey’s  in  station  police 		-1
 Turkey.  southern  in  town  a  in  station  police 		-1
 province  Adana  in  Seyhan,  of  town 	 Thursday. 	1
 Petersburg.  St  Russia's  in  supermarket 		-1
 Petersburg  St  of  city  Russian  the  in  supermarket 	 evening,  Wednesday 	1
		-1
		-1
 Jammu and Kashmir. 		-1
 Kashmir  and  Jammu 	 5,  January 	1
	 5.  January 	"-1
"
		-1
 Panchkula  in  Phase-II,  Area,  Industrial 	 today. 	1
		-1
 church  Egypt 		-1
 capital  Egypt’s  in  church 	 today, 	1
		-1
 area.  Helwan  in  church  Mina  Mar 		-1
 church,  Cairo  south 		-1
		-1
 apartment  NY 		-1
 City,  York  New  Bronx,  The  in  building  apartment 		-1
 Zoo,  Bronx  the  near  building 	 Thursday,  on  pm  6.51 	1
 apartments.  25  with  building  five-storey  and  floor  first 		-1
 Syria  northwestern 		-1
 province,  Idlib  northwestern  Syria's  of  edge 		-1
		-1
 provinces.  Hama  and  Idlib  straddling 		-1
 Chicago 		-1
 Chicago,  Dolton,  in  station  petrol 	 time,  local  morning  Thursday  on  late 	1
 Banihal. 		-1
 Kashmir  and  Jammu 	 Wednesday. 	1
 Ramban. 		-1
		-1
 town,  Meerbusch  Germany's 		-1
 town,  the  in  station  railway 		-1
		-1
 compound  Mills  Kamla  Mumbai's  pub 		-1
 building  Mumbai  central 	 midnight.  after 	1
	 p.m.  12.42 	"-1
"
 House.  Trade  Kamla  in  located  Above'  '1  called  restaurant 		-1
		-1
 Mumbai.  Mills  Kamala 		-1
		-1
 Mumbai. 		-1
 Sumatra 		-1
		-1
 Sumatra,  North 	 Sunday. 	1
	 Monday,  on  early 	"-1
"
 apartment  City  York  New 		-1
 Bronx,  building  apartment 	 night  Thursday  late 	1
		-1
 Zoo.  Bronx  the  of  grounds  the  from  block  a  building,  five-story 		-1
 floor  first 	 p.m.  7  before 	1
 Bronx 	 2007. 	1
		-1
 Bhangar, 	 Thursday. 	1
		-1
 Bhangar. 		-1
		-1
 crossing,  Ananthapur 	 noon,  12.15 	1
	 2017,  January 	"-1
"
 Bihar.  in  factory  sugar 		-1
 Bihar  of  district  Gopalganj  in  factory  sugar 	 night.  Wednesday 	1
 Pradesh.  Uttar  neighbouring  of  Bareli  Rae  in  factory  sugar 	 November,  in  Earlier 	1
		-1
 district  Gopalganj  in  factory  sugar  Musa  Sasa 	 midnight 	1
		-1
		-1
		-1
 Bihar,  in  station  rail 		-1
 district,  Munger  Bihar’s  in  station  railway  Masudan 	 night.  Tuesday  on  late 	1
		-1
		-1
		-1
 district  Lakhisarai 		-1
 Expressway.  Lucknow-Agra 		-1
 Expressway  Lucknow-Agra 	 morning, 	1
		-1
 station,”  police  Bangarmau  under  village  Jogikot  in  Expressway  Agra-Lucknow 	 morning  this  early 	1
		-1
 Lucknow  in  airport  Singh  Charan  Chaudhary 	 Wednesday. 	1
		-1
 Delhi. 		-1
 station,  Railway  Delhi  New 	 Thursday 	1
	 am  6 	"-1
"
		-1
 Pradesh  Uttar  in  district  Sonbhadra  in  station  Dam  Obra 	 am  6:25  7,  September 	1
 Delhi,  in  Bridge  Minto 		-1
 Maharashtra  in  Khandala 	 day.  same 	1
 Srinagar 		-1
 station  Airforce  the  and  Airport  Srinagar 	 morning.  Tuesday  early 	1
		-1
		-1
 battalion  182  BSF  the  of  campus 	 Tuesday.  on  am  4:30 	1
		-1
 California.  Southern 		-1
 firm  law  California  Southern 	 Friday 	1
		-1
 building  office  two-story 		-1
 Beach  Long  in  neighborhood  well-to-do  a  in  building 		-1
		-1
 night  Thursday 		-1
 suburb  Manila 		-1
		-1
		-1
		-1
		-1
		-1
 islands  Lakshadweep 		-1
 islands,  Lakshadweep 		-1
		-1
		-1
 island  Minicoy 		-1
 UP 		-1
		-1
 station  railway  Pukharayan  the  from  metres  few  a 	 Sunday,  on  dawn 	1
 Light  Sanjose 		-1
 USA  California,  Jose,  San 	 Thursday. 	1
 Drive.  Component  and  Street  First  North 	 pm  5.30 	1
		-1
 Airport.  International  Jose  San  Mineta 	 Tuesday, 	1
 Badrinath 		-1
 Uttarakhand  in  Badrinath  of  shrine  Himalayan 	 today. 	1
		-1
		-1
		-1
	 hrs.  0745 	"-1
"
		-1
 Kabul. 		-1
 Kabul  in  centre  cultural  Shiite 	 Wednesday, 	1
		-1
 Afghanistan 		-1
		-1
		-1
	 Thursday's 	"-1
"
 city,  the  in  compound  agency  intelligence  Afghan 		-1
 Sumbwa. 		-1
 city,  Raba  of  south  miles)  (44  km  71  archipelago,  Indonesian  the  in  Sumbawa  of  island 	 Friday 	1
		-1
 Japan,  northeast 		-1
 Tokyo  of  northeast 	 Wednesday 	1
		-1
 Japan 	 year.  every 	1
		-1
 coast,  northeast  Japan’s 	 2011  March 	1
 prefecture  Kumamoto  Japan’s  southern 	 April 	1
 Thailand.  Asia 	 after  years  Twelve 	1
 Thailand  Asia’s 	 2004 	1
	 26  December 	"-1
"
 Ocean  Indian 		-1
	 2004 	"-1
"
	 2004  26,  December 	"-1
"
	 years  12 	"-1
"
 islands:  Solomon 		-1
 Islands  Solomon 	 Tuesday, 	1
 north  Australia’s  to  islands 	 weeks  two  than  less 	1
		-1
 Solomons, 	 weeks  two  than  less 	1
 States.  United  north-eastern 		-1
 Maine.  south-west  to  Pennsylvania  eastern 		-1
		-1
 north-east,  the  of  parts  many 		-1
		-1
 Monday.  Road  Main  Uttanahalli  towards  Hills  Chamundi  atop  area  forest  reserve 		-1
 Road.  Main  Uttanahalli  near  Hills  Chamundi 	 3.45pm 	1
		-1
		-1
 Hills.  Chamundi  from  km  2 		-1
 hills  the  of  portion  large 		-1
		-1
		-1
 coast,  Gujarat  off 		-1
 coast  Gujarat  the  off 		-1
	 today.  PM  6 	"-1
"
 compartment  crew 		-1
		-1
 India.  North 		-1
 Pradesh,  Himachal  and  Kashmir  and  Jammu  including  States,  northern 	 Saturday 	1
	 p.m.  7  hours  early  the  in 	"-1
"
 Muzaffarnagar  with  Pradesh,  Uttar  eastern 		-1
 Kashmir,  and  Jammu 		-1
 Keylong  with  State  the  of  parts  most  Pradesh,  Himachal 		-1
 Delhi. 		-1
 capital 	 night 	1
		-1
		-1
 Kupwara.  Kashmir’s  and  Jammu 		-1
 district  Kupwara  Kashmir’s  north 	 evening,  Friday 	1
		-1
 India.  southern 		-1
 coastline, 	 1999. 	1
		-1
 Bhubaneswar.  capital  state  the  from  miles  60  around  Kendrapara, 		-1
 villages,  11 		-1
 city.  Sapporo  Japan’s 		-1
 Japan  northern  in  residence  low-rent 		-1
 Hokkaido,  of  island  the  on  Sapporo,  of  city 	 night’s  Wednesday 	1
		-1
	 2010,  March 	"-1
"
 Pakistan. 		-1
 Afghanistan  northeast 	 Wednesday, 	1
 mountains,  Kush  Hindu  the  in  Kabul  of  northeast  miles)  (167  km  270  India,  of  parts  capital  Afghan 		-1
 China.  in  plant  steel 		-1
 province  Guizhou  southwest  China’s  in  plant  steel  and  iron 		-1
