Name	Location	label
	 Uttarakhand. 	-1
	 district,  Chamoli 	-1
 evening.  28  December 	 Uttarakhand 	1
 p.m.,  4.45 	 district,  Chamoli  hilly 	1
 6.  December  of  night 	 Uttarakhand 	1
	 Rudraprayag, 	-1
		-1
 afternoon.  Friday 	 district  Raigad  in  Pali 	1
	 Pali 	-1
		-1
		-1
	 Delhi.  New 	-1
	 night,  Thursday  station  Delhi  New 	-1
		-1
 10.45pm  and  10.30pm 	 13,  number  platform 	1
	 Seyhan:  Turkey’s  in  station  police 	-1
	 Turkey.  southern  in  town  a  in  station  police 	-1
 Thursday. 	 province  Adana  in  Seyhan,  of  town 	1
	 Petersburg.  St  Russia's  in  supermarket 	-1
 evening,  Wednesday 	 Petersburg  St  of  city  Russian  the  in  supermarket 	1
		-1
		-1
	 Jammu and Kashmir. 	-1
 5,  January 	 Kashmir  and  Jammu 	1
 5.  January 		"-1
"
		-1
 today. 	 Panchkula  in  Phase-II,  Area,  Industrial 	1
		-1
	 church  Egypt 	-1
 today, 	 capital  Egypt’s  in  church 	1
		-1
	 area.  Helwan  in  church  Mina  Mar 	-1
	 church,  Cairo  south 	-1
		-1
	 apartment  NY 	-1
	 City,  York  New  Bronx,  The  in  building  apartment 	-1
 Thursday,  on  pm  6.51 	 Zoo,  Bronx  the  near  building 	1
	 apartments.  25  with  building  five-storey  and  floor  first 	-1
	 Syria  northwestern 	-1
	 province,  Idlib  northwestern  Syria's  of  edge 	-1
		-1
	 provinces.  Hama  and  Idlib  straddling 	-1
	 Chicago 	-1
 time,  local  morning  Thursday  on  late 	 Chicago,  Dolton,  in  station  petrol 	1
	 Banihal. 	-1
 Wednesday. 	 Kashmir  and  Jammu 	1
	 Ramban. 	-1
		-1
	 town,  Meerbusch  Germany's 	-1
	 town,  the  in  station  railway 	-1
		-1
	 compound  Mills  Kamla  Mumbai's  pub 	-1
 midnight.  after 	 building  Mumbai  central 	1
 p.m.  12.42 		"-1
"
	 House.  Trade  Kamla  in  located  Above'  '1  called  restaurant 	-1
		-1
	 Mumbai.  Mills  Kamala 	-1
		-1
	 Mumbai. 	-1
	 Sumatra 	-1
		-1
 Sunday. 	 Sumatra,  North 	1
 Monday,  on  early 		"-1
"
	 apartment  City  York  New 	-1
 night  Thursday  late 	 Bronx,  building  apartment 	1
		-1
	 Zoo.  Bronx  the  of  grounds  the  from  block  a  building,  five-story 	-1
 p.m.  7  before 	 floor  first 	1
 2007. 	 Bronx 	1
		-1
 Thursday. 	 Bhangar, 	1
		-1
	 Bhangar. 	-1
		-1
 noon,  12.15 	 crossing,  Ananthapur 	1
 2017,  January 		"-1
"
	 Bihar.  in  factory  sugar 	-1
 night.  Wednesday 	 Bihar  of  district  Gopalganj  in  factory  sugar 	1
 November,  in  Earlier 	 Pradesh.  Uttar  neighbouring  of  Bareli  Rae  in  factory  sugar 	1
		-1
 midnight 	 district  Gopalganj  in  factory  sugar  Musa  Sasa 	1
		-1
		-1
		-1
	 Bihar,  in  station  rail 	-1
 night.  Tuesday  on  late 	 district,  Munger  Bihar’s  in  station  railway  Masudan 	1
		-1
		-1
		-1
	 district  Lakhisarai 	-1
	 Expressway.  Lucknow-Agra 	-1
 morning, 	 Expressway  Lucknow-Agra 	1
		-1
 morning  this  early 	 station,”  police  Bangarmau  under  village  Jogikot  in  Expressway  Agra-Lucknow 	1
		-1
 Wednesday. 	 Lucknow  in  airport  Singh  Charan  Chaudhary 	1
		-1
	 Delhi. 	-1
 Thursday 	 station,  Railway  Delhi  New 	1
 am  6 		"-1
"
		-1
 am  6:25  7,  September 	 Pradesh  Uttar  in  district  Sonbhadra  in  station  Dam  Obra 	1
	 Delhi,  in  Bridge  Minto 	-1
 day.  same 	 Maharashtra  in  Khandala 	1
	 Srinagar 	-1
 morning.  Tuesday  early 	 station  Airforce  the  and  Airport  Srinagar 	1
		-1
		-1
 Tuesday.  on  am  4:30 	 battalion  182  BSF  the  of  campus 	1
		-1
	 California.  Southern 	-1
 Friday 	 firm  law  California  Southern 	1
		-1
	 building  office  two-story 	-1
	 Beach  Long  in  neighborhood  well-to-do  a  in  building 	-1
		-1
	 night  Thursday 	-1
	 suburb  Manila 	-1
		-1
		-1
		-1
		-1
		-1
	 islands  Lakshadweep 	-1
	 islands,  Lakshadweep 	-1
		-1
		-1
	 island  Minicoy 	-1
	 UP 	-1
		-1
 Sunday,  on  dawn 	 station  railway  Pukharayan  the  from  metres  few  a 	1
	 Light  Sanjose 	-1
 Thursday. 	 USA  California,  Jose,  San 	1
 pm  5.30 	 Drive.  Component  and  Street  First  North 	1
		-1
 Tuesday, 	 Airport.  International  Jose  San  Mineta 	1
	 Badrinath 	-1
 today. 	 Uttarakhand  in  Badrinath  of  shrine  Himalayan 	1
		-1
		-1
		-1
 hrs.  0745 		"-1
"
		-1
	 Kabul. 	-1
 Wednesday, 	 Kabul  in  centre  cultural  Shiite 	1
		-1
	 Afghanistan 	-1
		-1
		-1
 Thursday's 		"-1
"
	 city,  the  in  compound  agency  intelligence  Afghan 	-1
	 Sumbwa. 	-1
 Friday 	 city,  Raba  of  south  miles)  (44  km  71  archipelago,  Indonesian  the  in  Sumbawa  of  island 	1
		-1
	 Japan,  northeast 	-1
 Wednesday 	 Tokyo  of  northeast 	1
		-1
 year.  every 	 Japan 	1
		-1
 2011  March 	 coast,  northeast  Japan’s 	1
 April 	 prefecture  Kumamoto  Japan’s  southern 	1
 after  years  Twelve 	 Thailand.  Asia 	1
 2004 	 Thailand  Asia’s 	1
 26  December 		"-1
"
	 Ocean  Indian 	-1
 2004 		"-1
"
 2004  26,  December 		"-1
"
 years  12 		"-1
"
	 islands:  Solomon 	-1
 Tuesday, 	 Islands  Solomon 	1
 weeks  two  than  less 	 north  Australia’s  to  islands 	1
		-1
 weeks  two  than  less 	 Solomons, 	1
	 States.  United  north-eastern 	-1
	 Maine.  south-west  to  Pennsylvania  eastern 	-1
		-1
	 north-east,  the  of  parts  many 	-1
		-1
	 Monday.  Road  Main  Uttanahalli  towards  Hills  Chamundi  atop  area  forest  reserve 	-1
 3.45pm 	 Road.  Main  Uttanahalli  near  Hills  Chamundi 	1
		-1
		-1
	 Hills.  Chamundi  from  km  2 	-1
	 hills  the  of  portion  large 	-1
		-1
		-1
	 coast,  Gujarat  off 	-1
	 coast  Gujarat  the  off 	-1
 today.  PM  6 		"-1
"
	 compartment  crew 	-1
		-1
	 India.  North 	-1
 Saturday 	 Pradesh,  Himachal  and  Kashmir  and  Jammu  including  States,  northern 	1
 p.m.  7  hours  early  the  in 		"-1
"
	 Muzaffarnagar  with  Pradesh,  Uttar  eastern 	-1
	 Kashmir,  and  Jammu 	-1
	 Keylong  with  State  the  of  parts  most  Pradesh,  Himachal 	-1
	 Delhi. 	-1
 night 	 capital 	1
		-1
		-1
	 Kupwara.  Kashmir’s  and  Jammu 	-1
 evening,  Friday 	 district  Kupwara  Kashmir’s  north 	1
		-1
	 India.  southern 	-1
 1999. 	 coastline, 	1
		-1
	 Bhubaneswar.  capital  state  the  from  miles  60  around  Kendrapara, 	-1
	 villages,  11 	-1
	 city.  Sapporo  Japan’s 	-1
	 Japan  northern  in  residence  low-rent 	-1
 night’s  Wednesday 	 Hokkaido,  of  island  the  on  Sapporo,  of  city 	1
		-1
 2010,  March 		"-1
"
	 Pakistan. 	-1
 Wednesday, 	 Afghanistan  northeast 	1
