20th Earl of Arundel,Anne Howard Countess of Arundel
Aadesh Shrivastava,Vijayta Pandit
Aafia Siddiqui,Amjad Mohammed Khan
A. A. Gill,Amber Rudd
Aamir Ali Malik,Sanjeeda Shaikh
Aamir Khan,Kiran Rao
Aarón Díaz,Kate del Castillo
Aaron Hotchner,Beth Clemmons
Aaron Spelling,Carolyn Jones
Aaron Staton,Connie Fletcher
Aarti Bajaj,Anurag Kashyap
Abbas,Erum Ali
Abbas Tyrewala,Pakhi Tyrewala
Abbe Lane,Xavier Cugat
Abbie G. Rogers,Henry Huttleston Rogers
Abby Jimenez,Ramon Jimenez Jr.
Abby Lockhart,Luka Kovač
Abby McDeere,Mitch McDeere
Abdel Hakim Amer,Berlenti Abdul Hamid  برلنتي عبد الحميد
Abdoulaye Wade,Viviane Wade
Abdullah Ahmad Badawi,Endon Mahmood Ambak
Abdullah Ahmad Badawi,Jeanne Abdullah
Abdullah Gül,Hayrünnisa Gül
Abdullah I,Musbah bint Nasser
Abdul Rahman,Tunku Kurshiah
Abdul Razak Hussein,Tun Rahah Noah
Abdul Sattar Edhi,Bilquis Bano Edhi
Abdurrahman Wahid,Sinta Nuriyah
Abdus Salam,Louise Napier Johnson
Abe Bailey,Mary Bailey
Abe Forsythe,Helen Dallimore
Abel Stearns,Arcadia Bandini de Stearns Baker
A. Bhimsingh,Sukumari
Abigail Adams,John Adams
Abigail Kuaihelani Campbell,James Campbell
Abigail Kuaihelani Campbell,Samuel Parker
Abigail May Alcott,Amos Bronson Alcott
Abigail Nabby Adams Smith,William Stephens Smith
Abigail Powers Fillmore,Millard Fillmore
Abimael Guzmán,Augusta la Torre
Abraham Hoagland,Agnes Taylor
Abraham Jacobi,Mary Corinna Putnam Jacobi
Abraham Lincoln Al Neiman,Carrie Marcus Neiman
Abraham Lincoln,Mary Todd Lincoln
Abraham Van Buren,Angelica Singleton Van Buren
Abram Edward Fitkin,Susan Norris Fitkin
Acamapichtli,Huitzilxotzin
Acamapichtli,Ilancueitl
Acamapichtli,Tezcatlan Miyahuatzin
Acamapichtli,Xiuhcuetzin
Achim von Arnim,Bettina von Arnim
Ada de Warenne,Henry of Scotland
Adah Isaacs Menken,Robert Henry Newell
Ada Lovelace,The Earl of Lovelace
Adam Carter,Fiona Carter
Adam Clayton Powell Jr.,Hazel Scott
Adam Cooper,Sarah Wildor
Adam Curry,Mirjam (Micki) Hoogendijk
Adam Engst,Tonya Engst
Adam,Eve
Adam Hart-Davis,Susan Blackmore
Adam Hieronim Sieniawski,Katarzyna Kostka
Adam Hieronim Sieniawski,Wiktoria Elżbieta Potocka
Adam Jerzy Czartoryski,Anna Zofia Sapieha
Adam Joachim Vetulani,Irena Latinik-Vetulani
Adam Karol Czartoryski,Nora Picciotto
Adam Kazimierz Czartoryski,Izabela Czartoryska
Adam Ludwik Czartoryski,Maria Ludwika Krasińska
Adam Mikołaj Sieniawski,Elżbieta Sieniawska
Adam of Kilconquhar,Marjorie of Carrick
Adam Sandler,Jackie Sandler
Adam Shulman,Anne Hathaway
Adam Smethurst,Rakie Ayola
Adam Zwar,Amanda Brotchie
Ada of Huntingdon,Floris III of Holland
Addie McPhail,Roscoe Arbuckle
Addison Adrienne Forbes Montgomery,Derek Christopher Shepherd
Ade Edmondson,Jennifer Saunders
Adelaide-Blanche of Anjou,Louis V
Adelaide-Blanche of Anjou,Otto-William Count of Burgundy
Adelaide-Blanche of Anjou,William I of Provence
Adelaide Countess of Burgundy,Hugh III of Chalon Count of Burgundy
Adelaide Countess of Vermandois,Hugh I of Vermandois
Adelaide del Vasto,Roger I of Sicily
Adelaide Frances Tambo,Oliver Reginald Tambo
Adelaide of Aquitaine,Hugh Capet
Adelaide of Burgundy,Henry III
Adelaide of Eilenburg,Ernest
Adelaide of Guelders,William I of Holland
Adelaide of Hesse,Casimir III the Great
Adelaide of Holland,John Count of Hainaut
Adelaide of Hungary,Soběslav I
Adelaide of Hungary,Vratislaus II of Bohemia
Adelaide of Leuven,Simon I Duke of Lorraine
Adelaide of Paris,Louis the Stammerer
Adelaide of Rheinfelden,Ladislaus I
Adelaide of Riedenburg,Stephen II
Adelaide of Susa,Otto I Count of Savoy
Adelaide of Waldeck,Simon I Lord of Lippe
Adele Balasingham,Anton Balasingham
Adele Farrington,Hobart Bosworth
Adele Jergens,Glenn Langan
Adele Mara,Roy Huggins
Adèle of Champagne,Louis VII
Adèle of France,Baldwin V Count of Flanders
Adele of Meaux,Geoffrey Greymantle
Adelheid-Marie of Anhalt-Dessau,Adolphe
Adelheid of Meissen,Ottokar I of Bohemia
Adelina of Holland,Baldwin II Count of Boulogne
Adhuna Akthar,Farhan Akhtar
Aditi Shankardass,Siddharth Kara
Aditya Pancholi,Zarina Wahab
Adlai Stevenson I,Letitia Stevenson
Adnan Adıvar,Halide Edip Adıvar
Adolf,Christine of Hesse-Kassel
Adolf Duke of Guelders,Catharine of Bourbon
Adolf Frederick I Duke of Mecklenburg,Anna Maria of East Frisia
Adolf Frederick,Louisa Ulrika of Prussia
Adolf Friedrich of Mecklenburg,Elisabeth of Stolberg-Rossla
Adolf Hitler,Eva Braun
Adolf IV,Heilwig of Lippe
Adolf Muschg,Hanna Johansen
Adolfo Celi,Veronica Lazar
Adolphe,Grand Duchess Elizabeth Mikhailovna
Adolphe Menjou,Verree Teasdale
Adolph Green,Phyllis Newman
Adolph I Duke of Cleves,Marie of Burgundy
Adolph III of the Marck,Margaret of Jülich
Adolph II of the Marck,Margaret of Cleves
Adolph Landgrave of Hesse-Philippsthal-Barchfeld,Princess Louise of Saxe-Meiningen
Adonis Georgiadis,Eugenia Manolidou
Adriana Bortolozzi,Floro Bogado
Adriana Esteves,Vladimir Brichta
Adriana La Cerva,Christopher Moltisanti
Adriana of Nassau-Dillenburg,Philip I Count of Hanau-Münzenberg
Adrian Chiles,Jane Susan Garvey
Adrian,Janet Gaynor
Adrian Monk,Trudy Monk
Adrianne Allen,Raymond Massey
Adrianne Curry,Christopher Knight
Adriano Celentano,Claudia Mori
Adrienne Alexander,Tom Ruegger
Adrienne Ames,Bruce Cabot
Adrienne Ellis,Glen Corbett
Adrienne Morrison,Richard Bennett
Aénor of Châtellerault,William X Duke of Aquitaine
Æthelflæd,Æthelred
Afemo Omilami,Elisabeth Williams- Omilami
Afonso I,Beatriz Pereira de Alvim
Afonso III,Beatrice of Castile
Afonso II,Urraca of Castile
Afonso I,Mafalda of Savoy
Afonso,Isabella of Aragon
Afonso IV,Beatrice of Castile
Afonso VI,Maria Francisca of Savoy
Afonso V,Isabella of Coimbra
Afonso V,Joanna of Castile
Afzal Khan,SAHIBA
Agafia Svyatoslavna of Rus,Konrad I of Masovia
Agatha of Lorraine,Renaud III Count of Burgundy
Agatha,Samuel (Samuil)
Agnes Moorehead,Robert Gist
Agnes of Antioch,Béla III
Agnes of Aquitaine,Ramiro II
Agnes of Austria,Andrew III
Agnes of Babenberg,Władysław II the Exile
Agnes of Bavaria,Henry I Margrave of Brandenburg-Stendal
Agnes of Beaujeu,Theobald I of Navarre
Agnes of Burgundy,Charles I Duke of Bourbon
Agnes of Burgundy,William V Duke of Aquitaine
Agnes of Dampierre,John of Burgundy
Agnes of France,Robert II Duke of Burgundy
Agnes of Germany,Leopold III
Agnes of Hesse-Kassel,John Casimir
Agnes of Hesse,Maurice
Agnes of Hohenstaufen,Henry V Count Palatine of the Rhine
Agnes of Landsberg,Henry V Count Palatine of the Rhine
Agnes of Loon,Otto I Wittelsbach Duke of Bavaria
Agnes of Meissen,Henry I Duke of Brunswick-Grubenhagen
Agnes of Merania,Philip II Augustus
Agnes of Poitou,Henry III
Agnes of Rochlitz,Berthold IV Duke of Merania
Agnes of Solms-Laubach,Maurice
Agnes of the Palatinate,Otto II Wittelsbach Duke of Bavaria
Agnes,Ramiro I of Aragon
Agnes Tilney,Thomas Howard
Agnès Varda,Jacques Demy
Agnes Ward White,Albert Blakslee White
Agripina Samper Agudelo,Manuel Ancízar Basterra
Agrippina the Elder,Germanicus Julius Caesar
Agron,Teuta of Illyria
Aguas Ocaña,Ricardo Maduro
Agustín Lara,María Félix
Ahab,Jezebel
Ahmad Tejan Kabbah,Patricia Kabbah
Ahmed Butt,Humera Arshad
Ahmed Mohamed Kathrada,Barbara Anne Hogan
Ahmed Said Khadr,Maha el-Samnah
Ahmet Necdet Sezer,Semra Sezer
Aida McAnn Flemming,Hugh John Flemming
Aidan Quinn,Elizabeth Bracco
Ai Maeda,Ryōtarō Okiayu
Aimery I Viscount of Châtellerault,Dangereuse de l'Isle Bouchard
Ainun Habibie,Bacharuddin Jusuf Habibie
Ajay Devgn,Kajol
Ajay Piramal,Swati Piramal
Ajith Kumar,Shalini
A. K. G.,Susheela Gopalan
Aki Avni,Sandy Bar
Akie Abe,Shinzō Abe
Akiko Yosano,Tekkan Yosano
Akio Ōtsuka,Yoko Soumi
Akiva Schaffer,Liz Cackowski
Akshay Kumar,Twinkle Khanna
Al Adamson,Regina Carrol
Alain Johannes,Natasha Shneider
Alana Mareva,Tom Baldwin
Alana Stewart,George Hamilton
Alan Bond,Diana Bliss
Alan Browning,Pat Phoenix
Alan Crosland,Elaine Hammerstein
Alan Curtis Kay,Bonnie MacBird
Alan Curtis,Priscilla Lawson
Alan Dinehart Sr.,Mozelle Britton Dinehart Gosser
Alan García,Pilar Nores
Alan Greenspan,Andrea Mitchell
Alan Hamel,Suzanne Somers
Alan IV,Constance of Normandy
Alan Jay Lerner,Sandra Payne
Alan J. Levi,Sondra Currie
Alan Keen,Ann Keen
Alan Lake,Diana Dors
Alan Lowenthal,Bonnie Lowenthal
Alan Peter Cayetano,Lani Cayetano
Alan Rachins,Joanna Frank
Alan Scarfe,Sara Botsford
Alan Schriesheim,Robert A. Schriesheim
Alan Sillitoe,Ruth Fainlight
Alan Ward,Helen Ward
Alaowei Broderick Bozimo,Rosaline Patricia Irorefe Bozimo
Alapai Nui,Kamakaimoku
Alapai Wahine,Kepookalani
Alassane Ouattara,Dominique Nouvian-Ouattara
Alastair Duncan,Anna Gunn
Al Bano,Romina Power
Alben W. Barkley,Jane Hadley Barkley
Albert,Anna Marie of Brunswick-Lüneburg
Albert Anton Prince of Schwarzburg-Rudolstadt,Countess Emilie Juliane of Barby-Mühlingen
Alberta Ramage Neely,Matthew M. Neely
Albert,Archduchess Margarethe Klementine of Austria
Albert Azzo II Margrave of Milan,Kunigunde of Altdorf
Albert Count of Nassau-Weilburg,Anna of Nassau-Dillenburg
Albert,Dorothea
Albert Frederick,Marie Eleonore of Cleves
Albert I Duke of Bavaria,Margaret of Brieg
Albert I,Elizabeth of Carinthia
Albert I,Frederick Duke of Bohemia
Albert II Duke of Austria,Joanna of Pfirt
Albert II Duke of Brunswick-Lüneburg,Rixa of Werle
Albert II Duke of Mecklenburg,Eufemia Ericsdotter of Sweden
Albert III,Beatrix of Nuremberg
Albert III,Sidonie of Poděbrady
Albertina Sisulu,Walter Max Ulyate Sisulu
Albert,Isabella Clara Eugenia
Albert IV,Dorothea of Saxe-Altenburg
Albert IV,Kunigunde of Austria
Albert IV of Austria,Joanna Sophia of Bavaria
Albert,Karoline Friederike Franziska Stephanie Amalie Cecilie
Alberto Fujimori,Susana Shizuko Higuchi Miyagawa
Alberto Lleras Camargo,Bertha Puga Martínez
Alberto Pedro Demicheli Lizaso,Sofía Álvarez Vignoli
Albert Parker,Margaret Johnston
Albert,Richardis of Schwerin
Albert Russell,Vola Vale
Albert Salmi,Peggy Ann Garner
Albert the Bear,Sophie of Winzenburg
Albert the Magnanimous,Elizabeth of Luxembourg
Albert Thomas,Lera Millard Thomas
Albert V,Anna of Austria
Albert V Duke of Mecklenburg,Margaret of Brandenburg
Albrecht,Countess Maria Draskovich of Trakostjan
Albrecht,Countess Marie-Jenke Keglevich of Buzin
Albrecht Duke of Württemberg,Archduchess Margarete Sophie of Austria
Albrecht III Achilles Elector of Brandenburg,Margarete of Baden
Albrecht VII Duke of Mecklenburg,Anna of Brandenburg Duchess of Mecklenburg
Albrecht VII of Schwarzburg-Rudolstadt,Juliana of Nassau-Dillenburg
Albrycht Stanisław Radziwiłł,Anna Krystyna Lubomirska
Aldimir,Marina Smilets
Aldona of Lithuania,Casimir III the Great
Aldo Ray,Jeff Donnell
Alec Baldwin,Kim Basinger
